Chinkerbell,Asians
Chinksta,Chinese
Chinless Wonder,British
Chino,Chinese
Chinxican,Mixed Races
Chiquita,Blacks
Chirp,Whites
Chite,Whites
Choco,Blacks
Chocolate Dip(per),Whites
Chocolate Drop,Blacks
Chocolate-Covered Marshmallow,Blacks
Chocolate-Dipper,Whites
Chod,Guamanians
Chole,Creole
Cholo,Mexicans
Cholo/chola,Hispanics
Chombo,Blacks
Chonkey,Mixed Races
Chonky,Chinese
Choo-Choo,Chinese
Chop,Mixed Races
Chop Stick,Chinese
Chopper,Americans
Chork,Chinese
Chosenjin,Koreans
Christ Killer,Jews
Chromer,Australian Aboriginals
Chromey,Mixed Races
Chuck,Polish
Chuco,Mexicans
CHUD,Blacks
Chug,Native Americans
Chukcha,Eskimos
Chunga,Hispanics
Chunk,Chinese
Chunt,Mexicans
Cigani,Serbs
Cigarette-Smuggler,Montenegrians
Circle-K,Jews
CJ,Mixed Races
Clamhand,Whites
Clampett,Whites
Clay-Eater,Whites
Cleaning Lady,Polish
Clicker,Africans
Clicky,Blacks
Cliff Ape,Blacks
Cliptip,Jews
Clit-Chopper,Arabs
Clit-Swiper,Arabs
Clitless,Arabs
Clocker,Blacks
Cloggie,Dutch
Clover,Irish
Clown,Irish
Clown-Car,Mexicans
Clyde,Blacks
Coal-Burner,Whites
Coal-Cracker,Irish
Coal-Miner,Blacks
Coalhauler,Whites
Coat,Hispanics
Coca,Mozambicans
Cocachewers,Peruvians
Cochise,Native Americans
Cock-Asian,Whites
Cock/Cauc,Whites
Cocks,British
Cocksauce,Whites
Cocoa,Blacks
Cocoa Puff,Blacks
Cocoa Puff,Whites
Cocolo,Blacks
Coconut,Blacks
Coconut Nigger,Pacific Islanders
Cocoon,Blacks
Coffee Bean,Colombians
Coin Slot,Asians
Coke Camel,Hispanics
Cold Drink,Blacks
Colin,Blacks
Colonel's Kids,Blacks
Colonial,Americans
Colored,Blacks
Coltrane,Blacks
Commie,Russians
Comrade Chinx,Africans
Confederate,Whites
Congo,Blacks
Congo Lip,Blacks
Conky,Whites
Conky,Blacks
Conquistador,Blacks
Convict,Blacks
Convict,Australians
Cook,Asians
Cookie,Chinese
Cookie,Blacks
Cookies 'n Cream,Mixed Races
Coolie,Asians
Coon,Blacks
Coonadian,Blacks
Coonass,Cajuns
Cooner,Blacks
Coontang,Blacks
Cordon,Blacks
Corky,Whites
Corky,Dominicans
Corn,Mexicans
Cornbread,Blacks
Cornelius,Blacks
Cornfed,Whites
Cosby,Blacks
Cossak,Russians
Cotton Ball,Blacks
Cotton-Picker,Blacks
Cow-Kisser,Indians
Cowboy-Killer,Native Americans
Cowfuck,Whites
Crabrangook,Chinese
Cracker,Whites
Cracker Jack,Whites
Cracker Jap,Japanese
Crapaud,French
Craw,Blacks
Crayola,Blacks
Cream Of Wheat,Blacks
Cremlin,Whites
Crick Gypsy,Whites
Cricket,Blacks
Crikey,Jews
Crikey,Australians
Crime,Blacks
Crimestopper,Blacks
Criminal Factory,Blacks
Crioulo,Blacks
Crisco,Whites
Crispy,Blacks
Crizm,Whites
Cross-Dresser,Scottish
Crotchless Pants,Koreans
Crote,Croatians
Crouton,French
Crow,Blacks
Crow,Native Americans
Crudo,Whites
Crumpet-Stuffer,British
Crumpet-Sucker,British
Crunchy,Iraqis
Cube,Cubans
Cube,Eskimos
Cubs,Blacks
Cuff,Blacks
Curb-Biter,Blacks
Curry,Indians
Curry-Muncher,Indians
Custer,Whites
